PRECINCTID,CONSOLIDATED WITH,NAME,STREET,CITY,STATE,ZIP
17-010,,LEWISDALE ELEMENTARY SCHOOL,2400 BANNING PL,HYATTSVILLE,MD,20783
17-011,,RIDGECREST ELEMENTARY SCHOOL,6120 RIGGS RD,HYATTSVILLE,MD,20783
17-012,17-018,MARY HARRIS MOTHER JONES ELEM SCHOOL - LIBRARY,2405 TECUMSEH ST,ADELPHI,MD,20783
17-014,"17-015, 17-020",THE WORD OF GOD BAPTIST CHURCH,6513 QUEENS CHAPEL RD,HYATTSVILLE,MD,20782
18-001,,CAPITOL HEIGHTS ELEM SCH,601 SUFFOLK AVE,CAPITOL HEIGHTS,MD,20743
18-002,"18-015, 18-018",SEAT PLEASANT ELEM SCH,6411 G STREET,SEAT PLEASANT,MD,20743
18-004,,FRANCIS SCOTT KEY ELEM SCHOOL,2301 SCOTT KEY DR,DISTRICT HEIGHTS,MD,20747
18-005,,ROBERT R GRAY ELEM SCH - MPR,4949 ADDISON RD,CAPITOL HEIGHTS,MD,20743
18-006,,SOLID ROCK FULL GOSPEL BAPTIST CHURCH,7711 WALKER MILL DR,CAPITOL HEIGHTS,MD,20743
18-007,,CARMODY HILLS ELEM SCH,401 JADELEAF AVE,CAPITOL HEIGHTS,MD,20743
18-008,,HIGHLAND PARK ELEM SCH,6501 LOWLAND DRIVE,LANDOVER,MD,20785
18-009,"18-016, 18-017",SAINT MARGARET CATHOLIC SCH,408 ADDISON ROAD SOUTH,SEAT PLEASANT,MD,20743
18-010,,PEPPER MILL COMMUNITY CTR - GYM,610 HILL RD,LANDOVER,MD,20785
18-011,,BRADBURY HEIGHTS ELEM SCH,1401 GLACIER AVE,CAPITOL HEIGHTS,MD,20743
18-013,18-014,SEAT PLEASANT ACTIVITY CENTER,5720 ADDISON RD,SEAT PLEASANT,MD,20743
19-001,,RIVERDALE ELEMENTARY SCHOOL,5006 RIVERDALE RD,RIVERDALE,MD,20737
19-002,,PARKDALE HIGH SCHOOL - SMALL GYM,6001 GOOD LUCK RD,RIVERDALE,MD,20737
19-003,,UNIVERSITY PARK ELEM SCH,4315 UNDERWOOD ST,HYATTSVILLE,MD,20782
19-004,19-005,TEMPLETON ELEMENTARY SCHOOL,6001 CARTER'S LANE,RIVERDALE,MD,20737
20-001,20-022,CARROLLTON ELEMENTARY,8300 QUINTANA ST,NEW CARROLLTON,MD,20784
20-002,20-014,COMMUNITY BIBLE BAPTIST CHURCH,7309 RIVERDALE ROAD,LANHAM,MD,20706
20-003,20-023,ARDMORE ELEM  SCH  - MPR,9301 ARDWICK ARDMORE RD,UPPER MARLBORO,MD,20774
